INFO  - 2016-06-30 09:34:11.751; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2016-06-30 09:34:11.848; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor /root/project/main/solr-4.10.4/example/contexts at interval 0
INFO  - 2016-06-30 09:34:11.882; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: /root/project/main/solr-4.10.4/example/contexts/solr-jetty-context.xml
INFO  - 2016-06-30 09:34:12.006; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/root/project/main/solr-4.10.4/example/webapps/solr.war!/ to /root/project/main/solr-4.10.4/example/solr-webapp/webapp
INFO  - 2016-06-30 09:34:15.049; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2016-06-30 09:34:15.533; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2016-06-30 09:34:15.698; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2016-06-30 09:34:15.700; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2016-06-30 09:34:15.703; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2016-06-30 09:34:16.099; org.apache.solr.core.ConfigSolr; Loading container configuration from /root/project/main/solr-4.10.4/example/solr/solr.xml
INFO  - 2016-06-30 09:34:16.633; org.apache.solr.core.CorePropertiesLocator; Config-defined core root directory: /root/project/main/solr-4.10.4/example/solr
INFO  - 2016-06-30 09:34:16.704; org.apache.solr.core.CoreContainer; New CoreContainer 28031053
INFO  - 2016-06-30 09:34:16.704; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2016-06-30 09:34:16.733; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2016-06-30 09:34:16.733; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2016-06-30 09:34:16.743; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2016-06-30 09:34:16.745; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2016-06-30 09:34:16.745; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2016-06-30 09:34:16.746; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2016-06-30 09:34:16.747; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2016-06-30 09:34:16.747; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2016-06-30 09:34:16.748; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2016-06-30 09:34:16.749; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2016-06-30 09:34:17.059; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2016-06-30 09:34:17.063; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2016-06-30 09:34:17.067; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2016-06-30 09:34:17.072; org.apache.solr.core.CoreContainer; Host Name: 
INFO  - 2016-06-30 09:34:17.389; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath /root/project/main/solr-4.10.4/example/solr
INFO  - 2016-06-30 09:34:17.435; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in /root/project/main/solr-4.10.4/example/solr/collection1/
INFO  - 2016-06-30 09:34:17.435; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2016-06-30 09:34:17.438; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/root/project/main/solr-4.10.4/example/solr/collection1/'
INFO  - 2016-06-30 09:34:17.979; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2016-06-30 09:34:17.982; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2016-06-30 09:34:17.987; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2016-06-30 09:34:17.987; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2016-06-30 09:34:17.987; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2016-06-30 09:34:17.988; org.apache.solr.core.SolrResourceLoader; Adding 'file:/root/project/main/solr-4.10.4/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
